"author_userName","obfuscated_userName","author_location","author_followers","author_following","author_isBlueVerified"
"__nisanjo","@447129996589185","Tondo, Manila",70326,1481,False
"_djchacha","@502848624539866","",644570,907,False
"_GaiaPoly","@894831624795349","",72606,1431,False
"ABSCBN","@344694405381762","Manila, Philippines",1907435,810,True
"ABSCBNNews","@403780272519270","Manila, Philippines",9949465,1086,True
"ABSCBNpr","@34859533045326","Quezon City, Philippines",228720,468,False
"AFP","@456793039343990","Around The World",2439137,636,True
"AHOF__GRANDMA","@876575320724228","",800551,4793,False
"akazukinchan2x","@347280075511207","Abbott Elementary",53463,411,False
"akoposimarcelo","@11503056031366","Quezon City",1945733,4561,True
"AltStarMagic","@526730790366201","Sa loob ng ABS-CBN sa Ignacia",120747,1810,True
"alvinelchico","@467161425997003","National Capital Region, Repub",105442,196,False
"amaxtriton","@802585864361733","+63",74044,1449,False
"ANCALERTS","@208287835608527","Philippines",5228890,745,True
"apangilinan","@936960220706872","Manila, Philippines",183258,1572,False
"Arshiethromycin","@70047054001669","Marinduque, Philippines ",228924,367,False
"AskPerplexity","@712192195397021","WhatsApp & Telegram",276509,69,True
"ateneodemanilau","@575306104619656","Metro Manila, Philippines",150327,176,False
"attyharryroque","@328126839578840","Manila",90453,756,False
"AttyLeiladeLima","@894416324110752","",188113,399,True
"AttyMatula","@730798648352396","Agusan del Sur/Biñan, Laguna",63040,19675,True
"bamaquino","@951392445303700","Philippines",330528,432,True
"BangkoSentral","@768795647400867","Manila, Philippines",74367,444,False
"barrygutierrez3","@33643637499439","Philippines",126417,155,False
"bayanmo","@326683475544033","Quezon City, Philippines",832828,325,False
"BbMaharlika","@942501146785377","United States",53130,570,True
"beabinene","@979339868045075","MNL, PH",1168954,407,True
"bgyo_ph","@69469140131426","",128120,31,True
"BiniJhoannaOFC","@607504780903547","Team Bloom Philippines",107408,105,False
"boynextdoorgelo","@722855629086973","",124581,1034,False
"bworldph","@263046335723381","Philippines",71839,691,False
"cebudailynews","@89467949717779","Cebu City, Central Visayas",396061,592,True
"ChelDiokno","@313045157065984","",766878,127,False
"ChinaDaily","@392144287340834","Beijing, China",4148434,161,True
"christian4ng","@304074697255144","",126952,1080,False
"CoachClarkeRoi","@459463616122924","Ipswich, England",110847,461,False
"coastguardph","@941601529273772","",86694,42,False
"ColmenaresPH","@765593486391771","Republic of the Philippines",128753,1131,False
"COMELEC","@690883004797923","Intramuros, Manila",184891,324,False
"dawende","@544435089225274","Manila, Philippines",134345,740,False
"ddaddu_wonu","@735063825931379","🐈‍⬛🍒🍑👼🌻 ",154501,1288,True
"DDIndialive","@506314709999037","New Delhi, India",100085,516,True
"dearscarjames","@627145326926585","Metro Manila, Philippines",111669,1018,False
"DepEd_PH","@767491417819876","Pasig City, Philippines",3626173,226,True
"DFAPHL","@980041180861544","Republic of the Philippines",161801,586,False
"DILGPhilippines","@702473756024784","Quezon City",105709,94,False
"dingdongbahan","@431350195952465","Taguig",122696,210,False
"Diplomat_APAC","@939053159718843","Tokyo, Japan",260103,819,True
"djtonytoni","@582086956207824","Manila 📍",166781,5288,True
"Doc4Dead","@760045333861206","Philippines",191900,554,False
"DOHgovph","@635859183001931","Manila, Philippines",754403,64,False
"DONATORSPH","@207199937674386","EST. 2016",136493,103,True
"DonBelleOFC","@211160740232893","WORLDWIDE ",293480,149,True
"DOTrPH","@660971977848663","Mandaluyong City, Metro Manila",282235,73,False
"DreamscapePH","@171641606623055","ABS-CBN Corporation",364710,234,False
"DrTonyLeachon","@220086054806635","",86148,4413,True
"dswdserves","@61701542896124","Quezon City, Philippines",93473,623,True
"dwnews","@838219205497877","Germany",756041,566,True
"DYANCASTILLEJO","@207506864402424","Philippines",402186,759,False
"dzbb","@430526661831933","Republic of the Philippines",268526,981,False
"dzrhnews","@982646580214281","Manila, Philippines",144519,1054,True
"ECISVEEP","@74008718786186","",557735,65,False
"EdsonCGuido","@964523599139071","",86481,290,False
"elsserafim","@797003264539486","🇵🇭 (he/him) ",115098,309,True
"EmeraldRobinson","@381142807539110","Appalachia ",821897,9086,True
"EngR_BeNtOn","@962605750295607","Cebu City, Central Visayas",110748,203,False
"EVERYW0NWOO","@135143476111003","she/her. sc jn ww mg mh vn dn",77824,6602,False
"FashionPulis","@630293266667219","",283306,0,False
"FifthSolomon","@926123131330486","Philippines",179521,1831,False
"filo_rants","@706317159413737","8 admins — 040723 🍉 🇵🇭",129404,41,False
"fischldiokno","@626580377812037","lunar valleys in my mind 🌙",73118,5929,False
"FlipTop_Battles","@261733853421159","Manila, Philippines",81493,260,False
"gabbi","@338481384978355","📍 south girl",885636,323,False
"gabmonstere","@720370803974566","ig: theianbautista ♡",57050,1171,False
"gangbadoy","@940986200881237","Manila, Philippines",95212,2530,False
"GerryCacanindin","@500052637110278","Manila, Philippines",81283,43,False
"gianbernardino_","@299832840210670","baguio city",93455,887,False
"GMA_PA","@177472899322393","National Capital Region",271702,188,False
"GMADrama","@198872042227056","",226915,298,False
"gmanetwork","@118642231280618","Philippines",1785472,703,True
"gmanews","@225867148354714","Philippines",6766173,678,True
"gmapinoytv","@701957206625792","Worldwide",118224,373,False
"gork","@390374313321317","",208400,0,True
"grabph","@121147772511640","Philippines",161445,8,True
"gretchenho","@747203202544115","Manila, Philippines",935423,1934,True
"gretsfullido","@808652668223562","",790635,1599,False
"grok","@515433734353119","wherever you are",4089199,3,True
"gulf_news","@642501421853558","United Arab Emirates",1532442,311,True
"gurlbehindthisb","@655931840941087","Davao City, Davao Region",52702,9384,False
"hecklerforever8","@951074506968504","",80452,824,False
"heyjoshd","@393378411952634","",127565,471,False
"HouseofRepsPH","@268528071035300","Quezon City",65069,110,True
"iaaamAJ_","@765344901799902","📍Guadalupe, Makati",135840,7331,False
"iamAlyloony","@574545242067207","PH ",327170,175,False
"iamkarendavila","@885932131248309","Philippines",3610080,725,True
"iamsuperbianca","@762646581760778","Philippines",7372966,725,True
"imchristan","@858159866780689","Philippines",55573,347,True
"indaysara","@338895877931805","Davao City",222699,0,False
"inquirerdotnet","@460436796410133","Makati City",3988694,1772,True
"INQUIRERSports","@996638878848698","Manila",58224,604,False
"interaksyon","@568503467839148","Philippines",210105,112,True
"iskolarium","@266167844425749","",85198,1891,False
"its_giancarlo19","@223518135129667","Lungsod ng Pasig, Pambansang P",145026,652,False
"ItsACsLife","@293929408961562","",298017,798,False
"itsShowtimeNa","@862265980845327","ABS-CBN Corporation",1854887,50,True
"ITSYABOISATANAS","@981143585017165","Dagat dagatang apoy",84249,24,False
"ivanmayrina","@60196334853176","Philippines",131501,844,False
"jaicabajar","@301255784819124","Republic of the Philippines",214983,894,False
"jajeanmyeon","@653348968629130","CARATLAND",54973,2438,True
"jcpunongbayan","@493592062383126","Metro Manila",87063,3733,False
"jeffcanoy","@448905441296611","Republic of the Philippines",353593,1821,False
"JerryGracio","@975452594351818","Valenzuela City",54850,3204,False
"jm_lago","@888315447435258","Manila, PHL",136623,2061,False
"jmdanganemd","@477124322791409","Manila City",89780,1029,False
"JohnnyThorFish","@710380529664789","Republic of the Philippines",54721,8024,False
"Joseph_Morong","@288092325482949","",224407,6814,False
"jpsoriano","@90425491279694","Manila, Philippines",62362,4516,False
"junepineda8","@686600434831547","National Capital Region, Repub",109553,103635,True
"KafosoMo","@138597082847997","Kamuning cor. Ignacia",58342,452,False
"KakanTuring","@658014619910474","",69184,1643,False
"KapamilyaV","@423019828630029","bgyo",51196,7490,False
"kblstgn","@372769658477055","",149717,257,False
"KevinKalbo","@281793685096992","Rizal, Calabarzon",125992,892,False
"kikopangilinan","@886466108474189","Philippines",1226125,1152,True
"KM_Jessica_Soho","@530465812194710","Philippines",1133107,62,True
"KorekKaJohn","@451018693498317","Philippines",544971,855,False
"kowalerts","@393195002743578","Republic of the Philippines",107106,515,True
